id|code|department|name|state|date_start|date_start_revised|date_end|date_end_revised|cost_target|cost_target_revised|cost_spent|progress
1|610315|adani airport holdings limited|guwahati airport new integrated terminal building construction project |assam|03/2018|03/2018|03/2025 |03/2025|1712.0|1712.0|0.0|94.1
2|400144|airport authority of india [aai]|c/o nitb imphal airport |manipur|07/2022|07/2022|07/2024|07/2024|499.0|499.0|160.48|41.0
3|608301|airport authority of india [aai]|widening of basic strip at western side of runway chainage 80m to 920m i/c slope stabilization measures [balance work] of uphill and improvement of storm water drainage system at pakyong airport, sikkim on design & build basis [epc] with integrated 10 years maintenance. |sikkim|12/2023|12/2023|02/2026 |02/2026|323.26|323.26|29.69|12.0
4|608302|mis mocoal integration logins|tikak extension ocp |assam|07/2022|07/2022|07/2031 |07/2031|159.77|159.77|80.84|0.0
5|702522|mis mocoal integration logins|tirap ocp |assam|11/2022|11/2022|11/2030 |11/2030|289.46|289.46|105.47|0.0
6|702524|national institute of technology, arunachal pradesh|construction of permanent campus of national institute of technology arunachal pradesh |arunachal pradesh|03/2013|03/2013|08/2026 |08/2026|592.61|592.61|549.96|75.0
7|602181|tezpur university|tezpur university projects |assam|06/2021|06/2021|11/2023|11/2023|153.71|153.71|288.87|93.0
8|602182|national institute of technology, meghalaya|construction and developement of national institute of technology meghalaya permanent campus at sohra |meghalaya|09/2014|09/2014|03/2022|03/2022|494.52|494.52|413.57|86.0
9|602184|ministry of education|construction of permanent campus for nit mizoram at lengpui, aizawl |mizoram|05/2014|05/2014|12/2029|12/2029|474.23|474.23|167.55|4.0
10|602185|nit nagaland|establishment of nit nagaland |nagaland|09/2012|09/2012|12/2025 |12/2025|275.63|275.63|257.82|93.0
11|702540|sikkim university|construction of sikkim university campus phase-i package-ii at yangang, south sikkim |sikkim|01/2022|01/2022|01/2025|01/2025|314.06|314.06|238.22|82.0
12|702544|ministry of education|establishment of permanent campus of nit sikkim at khamdong-gangtok district |sikkim|03/2024|03/2024|02/2028|02/2028|685.76|610.76|121.56|7.0
13|602193|national highways & infrastructure development corporation ltd. [nhidcl]|dibang multipurpose project |arunachal pradesh|02/2023|02/2023|02/2032|02/2032|31876.39|31876.4|3436.38|16.0
14|602194|north eastern electric power corporation limited|240mw heo he project |arunachal pradesh|05/2025|05/2025|07/2029 |07/2029|1938.85|1938.85|49.31|3.0
15|602195|north eastern electric power corporation limited|186 mw tato-i h e project |arunachal pradesh|05/2025|05/2025|07/2029 |07/2029|1750.07|1750.07|102.79|2.0
16|400152|national highways & infrastructure development corporation ltd. [nhidcl]|subansiri lower he project [2000 mw] |multi-states (arunachal pradesh, assam)|09/2003|09/2003|09/2010|09/2010|6285.33|26075.5|24685.13|96.0
17|705444|national highways & infrastructure development corporation ltd. [nhidcl]|teesta-vi he project, sikkim [500 mw], executed by lanco teesta hydro power limited [a wholly owned subsidiary of nhpc ltd. acquired through nclt] |sikkim|03/2019|03/2019|03/2024|03/2024|5748.04|5748.04|4495.28|68.0
18|702555|national highways & infrastructure development corporation ltd. [nhidcl]|rangit-iv he project [120 mw] executed by jal power corporation ltd. [jpcl] - a wholly owned subsidiary of nhpc ltd. acquired through nclt |sikkim|03/2021|03/2021|05/2024|05/2024|938.29|1828.11|1554.15|90.0
19|602223|power grid corporation of india limited [powergrid]|north eastern region power system improvement project [nerpsip] |multi-states (meghalaya, manipur, mizoram, tripura, nagaland, assam)|03/2016|03/2016|12/2018|12/2018|5111.33|6700.0|5253.47|96.0
20|400158|power grid corporation of india limited [powergrid]|comprehensive scheme for strengthening of transmission and distribution [t&d] systems [csst&ds] in arunachal pradesh and sikkim |multi-states (sikkim, arunachal pradesh)|01/2016|01/2016|12/2018|12/2018|4754.42|4754.42|7321.07|81.0
21|705450|ministryofpetroleumnaturalgas|rajasthan refinery project |arunachal pradesh|10/2017|10/2017|10/2022|10/2022|43129.0|72937.0|59524.37|87.0
22|705453|ministry of petroleum & natural gas|paradip-numaligarh crude oil pipeline [pncpl] & crude oil import terminal [coit] at paradip |assam|01/2019|01/2019|07/2024|07/2024|10228.0|11407.0|9701.95|86.0
23|705454|hindustan petroleum corporation limited|construction of lpg facilities at kamardanga, assam |assam|03/2023|03/2023|07/2027|07/2027|156.36|156.36|49.78|39.0
24|616586|hindustan petroleum corporation limited [hpcl]|setting up of new rail fed pol facility at kamardanga, assam |assam|03/2023|03/2023|07/2027|07/2027|384.04|384.04|110.44|48.0
25|616587|indian oil corporation limited [iocl]|grass root rail-fed depot at sekerkote, agartala as resitement of existing dharmanagar depot |tripura|06/2022|06/2022|09/2025|09/2025|656.0|656.0|465.73|84.0
26|616588|ministry of petroleum & natural gas|numaligarh refinery expansion project |assam|07/2020|07/2020|07/2024|07/2024|12366.0|22494.0|16502.36|75.0
27|705457|ministry of petroleum & natural gas|assam bio refinery, abrpl |assam|02/2018|02/2018|09/2021|09/2021|1750.0|4200.0|4650.0|99.0
28|702612|ministry of petroleum & natural gas|development of surface facilities for production and evacuation of crude oil and natural gas from nadua and east khagorija |assam|01/2018|01/2018|02/2020|02/2020|682.9|726.93|488.37|94.0
29|706718|ministry of petroleum & natural gas|guwahati refinery expansion [1.0 to 1.2 mmtpa] along with installation of cru, guwahati refinery |assam|05/2021|05/2021|10/2023|10/2023|412.3|577.0|430.83|84.0
30|702625|ministry of petroleum & natural gas|construction of field gas gathering station at baghjan area for collection, processing & transportation of natural gas to be produced from baghjan field |assam|12/2020|12/2020|03/2024|03/2024|430.76|430.76|326.12|85.0
31|702626|ministry of petroleum & natural gas|upgradation of facilities of numaligarh-siliguri product pipeline [nspl] for transportation of additional products from existing 1.72 mmtpa to 5.5 mmtpa |assam|06/2021|06/2021|12/2024|12/2024|860.0|860.0|566.18|98.0
32|702627|ministryofpetroleumnaturalgas|augmentation/revamping of facilities at existing guwahati terminal at betkuchi |assam|04/2022|04/2022|09/2026|09/2026|277.0|323.09|185.18|67.0
33|706724|ministryofpetroleumnaturalgas|capacity expansion of digboi refinery from 0.65 to 1.0 mmtpa |assam|06/2022|06/2022|03/2026|03/2026|768.0|740.0|99.02|35.0
34|702628|ministry of petroleum & natural gas|pipeline network project rudrasagar |assam|01/2023|01/2023|04/2026|04/2026|344.99|344.99|210.89|46.0
35|702630|ministry of petroleum & natural gas|borholla ggs life extension project [blep] |assam|09/2023|09/2023|05/2026|05/2026|198.7|198.7|36.78|29.0
36|702631|nrl|dcu revamp project |assam|08/2021|08/2021|07/2024|07/2024|370.0|370.0|249.41|57.0
37|702632|nrl|power recovery turbine [prt] in pfccu unit as an energy conservation scheme |assam|04/2023|04/2023|12/2024|12/2024|293.5|293.5|97.22|93.0
38|702633|ministry of petroleum & natural gas|north east gas grid |multi-states (sikkim, arunachal pradesh, nagaland, meghalaya, assam, mizoram, tripura, manipur)|04/2020|04/2020|03/2024|03/2024|9265.0|9265.0|6375.02|85.0
39|702629|ministryofpetroleumnaturalgas|augmentation/ revamping of dimapur depot, dimapur |nagaland|08/2023|08/2023|11/2027|11/2027|227.62|227.62|9.01|20.0
